Tweet;Classificação
Pressionem Queremos a reforma da previdência de Paulo Guedes sem desidrataçao Queremos Previdência de 1 Trilhao ;Positivo
#EPTV1 Parabéns pela imparcialidade. Mostrando o protesto contra a Reforma da Previdência, porém não mostrou nada sobre as manifestações de domingo passado contra o STF e a favor da Lava Jato. EPTV puxadinho da Globo. Mídia lixo. #GloboEsgotoDaTV;Positivo
@dep_paulinho TU É UM CANALHA. INDO CONTRA A REFORMA DA PREVIDENCIA SÓ PARA NÃO RELEGER BOLSONARO? O POVO QUE SE FODA.;Positivo
Em mais um golpe do Centrão, aquela grande frente contra o Brasil, um projeto de reforma da previdência alternativo é apresentado. Rodrigo Maia subscreve a sacanagem.;Positivo
Eles acham que o objetivo é só lula livre e cagam pro objetivo da educação, tanto que tive que ir escondida dos meus pais pra eles n encherem meu saco, pq eu tava la pela educação e não pelo lula. Igual ngc da reforma da previdência, que enfiaram la tbm sendo que era pra ser só+;Positivo
Reforma da Previdência de Bolsonaro não é a mesma de sua equipe econômica Por Helena Chagas ;Neutro
Bolsonaro aprova idade mínima de 65 anos para homens e 62 para mulheres na reforma da Previdência ;Neutro
Com a reforma da previdência acho q é agregado 13 anos + os 28;Neutro
Entenda como a reforma da Previdência aprofunda as desigualdades - CartaCapital ;Neutro
@Brasil_Urgente Datena, sou guarda municipal de Campinas faz quase 22 anos e faço parte do comando da GMC faz 10 anos.Como jornalista sério que você sempre foi peço para que ajude os GMs de todo o Brasil, pois na reforma da previdência o Presidente da Câmara,;Neutro
Eu não acredito que vão começar a votar essa reforma da previdência lixo;Negativo
não a mais esse imposto pilantraços..Não fazem nada pelo povo eo trabalhador humilde e velhinhos humildes deste país. Não a reforma da previdência social mau feita por ladrões piratas safados corruptos pilantras de Brasília;Negativo
"""Reforma da previdência vai resultar num genocídio das próximas gerações"" Pensa aí qm será a próxima geração...será q são os filhos do Bolso....pois é ,não né....";Negativo
Será que esta foi a barganha feita para a expressiva votação da reforma da previdência? Decepcionante se for isso. #VETABOLSONARO;Negativo
Reforma da Previdência só traz ônus ao trabalhador cobrar os grandes devedores ninguém fala! Eu trabalho desde 94 logo são 25 de contribuição pra regra nova tenho q contribuir mais 22 anos com sorte se tiver viva aposento no ano de 2041!;Negativo
